"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.754063333E0,-3.491598964E-1,2.284193635E-1,-1.150028110E0
1.773983333E0,-5.522434711E-1,2.371787727E-1,-1.104809999E0
1.793903334E0,-6.795190573E-1,2.815702260E-1,-1.033493996E0
1.813823333E0,-7.281062603E-1,2.965789735E-1,-9.599952698E-1
1.833743333E0,-7.560564876E-1,2.659141719E-1,-8.443356156E-1
1.853663333E0,-8.048838377E-1,1.811708808E-1,-6.920623779E-1
1.873583334E0,-7.886775136E-1,1.294990480E-1,-5.266358852E-1
1.893504333E0,-6.958435774E-1,-4.086826369E-2,-3.350443542E-1
1.913424334E0,-4.930746853E-1,-3.264926374E-1,-2.889942527E-1
1.933344333E0,-4.211770296E-1,-3.971954882E-1,-1.467820406E-1
1.953264333E0,-5.869507194E-1,-4.148332775E-1,2.313080579E-1
1.973184333E0,-7.967181802E-1,-3.698622286E-1,7.506143451E-1
1.993104334E0,-7.900031805E-1,-1.300694048E-1,1.284148216E0
2.013024333E0,-4.527918994E-1,3.082379103E-1,1.607339144E0
2.032944333E0,-1.087866351E-1,7.391300201E-1,1.481428862E0
2.052864333E0,-4.037898034E-2,9.868422151E-1,1.120443463E0
2.072784333E0,-2.532201111E-1,1.053140521E0,8.271828294E-1
2.092704333E0,-5.045699477E-1,9.276871681E-1,6.819271445E-1
2.112624333E0,-6.137468219E-1,6.795427799E-1,6.613550186E-1
2.132544334E0,-5.125134587E-1,4.677427113E-1,7.035543919E-1
2.152464333E0,-3.425416350E-1,3.797658384E-1,8.279410601E-1
2.172384333E0,-1.687492132E-1,4.048618972E-1,9.388886094E-1
2.192305333E0,-1.671974547E-2,4.425396323E-1,9.615001678E-1
2.212225333E0,8.494022489E-2,4.457285404E-1,9.401256442E-1
2.232145333E0,1.362742335E-1,3.599023819E-1,9.070547819E-1
2.252065334E0,1.062762588E-1,1.449953467E-1,8.760363460E-1
2.271985333E0,8.518356830E-2,-1.654120833E-1,9.283536673E-1
2.291905333E0,7.920952886E-2,-5.093927383E-1,9.892151952E-1
2.311825333E0,5.229652673E-2,-6.813742518E-1,9.393450618E-1
2.331745334E0,-6.673216820E-3,-7.133863568E-1,8.482077122E-1
2.351665000E0,-2.215816677E-1,-5.581538081E-1,7.425678968E-1
2.371585000E0,-4.938295484E-1,-2.437440753E-1,7.170560956E-1
2.391505000E0,-7.482562065E-1,1.684926301E-1,7.191272378E-1
2.411425000E0,-8.821234107E-1,4.690656662E-1,7.143300772E-1
2.431345000E0,-8.800691366E-1,5.146930218E-1,7.355778217E-1
2.451265000E0,-7.015690207E-1,4.029510617E-1,7.997232676E-1
2.471185000E0,-4.794960618E-1,2.123892605E-1,8.360146880E-1
2.491106000E0,-3.047024310E-1,2.865313925E-2,7.042004466E-1
2.511026000E0,-1.464419216E-1,-9.146431088E-2,3.697205484E-1
2.530946000E0,-3.543177247E-2,-1.838897467E-1,2.335218787E-1
2.550866000E0,-1.793922856E-2,-2.141678929E-1,3.354831338E-1
2.570786000E0,-1.353844255E-1,-1.887352318E-1,3.376557529E-1
2.590706000E0,-2.131229937E-1,-1.256410927E-1,8.375982940E-2
2.610626000E0,-1.369736195E-1,-1.532880068E-1,-3.680734336E-1
2.630546000E0,1.042808145E-1,-2.555232942E-1,-7.967957854E-1
2.650466000E0,4.143683016E-1,-4.876561463E-1,-9.055536985E-1
2.670386000E0,7.126054764E-1,-9.384196401E-1,-8.305171728E-1
2.690306000E0,1.025179744E0,-1.492969513E0,-7.400632501E-1
2.710226000E0,1.299772382E0,-2.020399809E0,-8.159797788E-1
2.730146000E0,1.523848534E0,-2.284576654E0,-1.057376742E0
2.750066000E0,1.646051407E0,-2.280315161E0,-1.371258974E0
2.769986000E0,1.535300732E0,-2.081893682E0,-1.717195153E0
2.789906000E0,1.188933134E0,-1.749486804E0,-1.974040747E0
2.809827000E0,8.489573598E-1,-1.319603801E0,-2.088412762E0
2.829747000E0,6.141707897E-1,-8.861355782E-1,-2.115866184E0
2.849667000E0,4.805921912E-1,-5.029591322E-1,-2.083071232E0
2.869587000E0,3.734497130E-1,-2.110365331E-1,-1.989264131E0
2.889507000E0,2.314493358E-1,-4.003731161E-2,-1.858250141E0
2.909427000E0,1.148813218E-1,6.366834790E-2,-1.695318818E0
2.929347000E0,6.518799067E-2,1.163331345E-1,-1.451625347E0
2.949267000E0,3.641791642E-2,1.311446428E-1,-1.160845041E0
2.969187000E0,5.449176952E-2,1.153535396E-1,-9.095094800E-1
2.989107000E0,1.270115972E-1,8.648643643E-2,-7.187488675E-1
3.009027000E0,1.733349711E-1,6.842611730E-2,-5.445160866E-1
3.028947000E0,1.649856865E-1,7.544248551E-2,-3.225962222E-1
3.048867000E0,1.368073225E-1,8.267669380E-2,-7.003958523E-2
3.068787000E0,1.060803309E-1,6.712661684E-2,7.996270061E-2
3.088707000E0,1.768764704E-1,1.008922383E-1,1.214996949E-1
3.108627000E0,8.147724718E-2,2.775850296E-1,3.432446718E-1
3.128548000E0,-2.465509027E-1,3.113470078E-1,6.509127617E-1
3.148468000E0,-4.100263119E-1,2.757504284E-1,1.069264770E0
3.168388000E0,-1.518705487E-1,1.963340193E-1,1.485049725E0
3.188308000E0,2.999478579E-1,7.576325536E-2,1.653152347E0
3.208228000E0,6.157054901E-1,2.829041891E-2,1.389806032E0
3.228148000E0,6.279295683E-1,3.737209737E-2,9.303004146E-1
3.248068000E0,3.888871670E-1,1.848773658E-2,6.187909842E-1
3.267988000E0,2.814701945E-2,1.888943650E-2,4.925793111E-1
3.287908000E0,-3.262622356E-1,6.762787700E-2,4.453488886E-1
3.307828000E0,-5.524337292E-1,2.074074745E-1,4.476048350E-1
3.327748000E0,-6.979387403E-1,3.780876994E-1,5.005319715E-1
3.347668708E0,-7.447639108E-1,5.330138803E-1,5.795429349E-1
3.367588708E0,-6.517922878E-1,6.501727104E-1,6.909731030E-1
3.387508709E0,-4.683359563E-1,6.747254729E-1,8.107892275E-1
3.407428708E0,-2.997586727E-1,5.680704713E-1,9.125980735E-1
3.427348708E0,-2.375974953E-1,3.192507625E-1,9.826978445E-1
3.447268708E0,-2.355469167E-1,1.400589291E-2,1.034499049E0
3.467189708E0,-2.887640893E-1,-2.788806558E-1,1.050647140E0
3.487109709E0,-3.846196234E-1,-4.616440237E-1,1.055837870E0
3.507029708E0,-4.990435541E-1,-4.880796075E-1,1.055694580E0
3.526949708E0,-6.330693364E-1,-3.718718290E-1,1.056314826E0
3.546869708E0,-7.383649945E-1,-1.380834579E-1,1.036909103E0
3.566789709E0,-7.555288672E-1,9.274623543E-2,1.006751537E0
3.586709708E0,-6.856386662E-1,2.390783280E-1,9.591381550E-1
3.606629708E0,-5.078184605E-1,2.323656976E-1,9.105392098E-1
3.626549708E0,-2.794678509E-1,1.399260461E-1,8.769740462E-1
3.646469709E0,-8.425609767E-2,-1.156576909E-4,8.168625832E-1
3.666389708E0,2.482913062E-2,-1.831857264E-1,5.525903702E-1
3.686309708E0,1.453923136E-1,-3.402435780E-1,1.702281535E-1
3.706229708E0,2.639779449E-1,-4.646733403E-1,6.266119331E-2
3.726149708E0,3.547696173E-1,-4.733179510E-1,2.017319947E-1
3.746069708E0,3.920984268E-1,-4.308539033E-1,2.127291858E-1
3.765989708E0,3.934467733E-1,-3.370290399E-1,1.385259442E-2
3.785909709E0,4.440759122E-1,-3.275976777E-1,-4.044212997E-1
3.805829708E0,5.673832893E-1,-3.400560021E-1,-8.101264834E-1
3.825750709E0,7.605437040E-1,-4.954324365E-1,-9.656867981E-1
3.845670708E0,1.019887209E0,-8.349084854E-1,-9.673041105E-1
3.865590708E0,1.248331308E0,-1.320046782E0,-9.756067395E-1
3.885510708E0,1.409474492E0,-1.715838909E0,-1.134898424E0
3.905430709E0,1.411025405E0,-1.875150561E0,-1.385603309E0
3.925350708E0,1.306072831E0,-1.831073165E0,-1.689967632E0
3.945270708E0,1.143523216E0,-1.643497944E0,-2.009176493E0
