time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
14.94114658,5.082231445,-7.234006805,-1.363514557,-0.3312371373,0.07372245193,0.9393722415,walking
14.96106658,5.470224609,-7.540569305,-1.237776031,-0.3278146982,-0.05935474485,0.976898849,walking
14.98098658,5.598058777,-7.456144867,-1.128353577,-0.3759287894,-0.06106345356,0.9989972115,walking
15.00090658,5.701343994,-7.2685849,-0.9262738037,-0.4580695927,0.07563887537,1.004951835,walking
15.02082658,6.123166809,-7.472460938,-0.7059320068,-0.5135039687,0.2247582823,0.9564795494,walking
15.04074758,6.486311646,-7.97526535,-0.5989045715,-0.5257489085,0.3342960179,0.8919357657,walking
15.06066758,6.77131897,-8.450227661,-0.5692662048,-0.4669591486,0.3018868864,0.8434984684,walking
15.08058758,6.950945435,-8.834777985,-0.5846841431,-0.3589785695,0.1683837473,0.847084403,walking
15.10050758,7.056026917,-8.548423462,-0.7343728638,-0.2766621113,0.01448675524,0.8634337187,walking
15.12042758,8.481811981,-9.255253601,-0.9009764099,-0.2603604198,-0.1797245443,0.6417497993,walking
15.14034758,9.224567413,-10.6540947,-0.5719606018,-0.2054858953,-0.2578309476,0.4425706863,walking
15.16026758,9.058562622,-10.91006241,-0.4495152283,-0.09770374745,-0.2236636877,0.3915578723,walking
15.18018758,8.85992569,-9.82167572,-0.320483551,0.04298662394,-0.109326601,0.3668019474,walking
15.20010758,8.50890564,-7.756270752,-0.5158273315,0.101289086,0.03391444683,0.2129993439,walking
15.22002758,8.827592926,-6.516848145,-0.610430603,0.1386341006,0.04278975725,-0.2562717795,walking
15.23994758,9.110055542,-7.198829956,-0.4914280701,0.2130822539,0.003081444185,-0.8272934556,walking
15.25986758,7.628436584,-8.117619324,-0.4661306763,0.3062248826,-0.02936471999,-1.015171766,walking
15.27978758,6.807843018,-8.54513031,-0.4215234375,0.4840613604,-0.2744216323,-1.008790851,walking
15.29970758,6.539002075,-8.620723114,-0.4813989258,0.6877382398,-0.7119444013,-0.956176877,walking
15.31962758,6.868916016,-8.456065521,-0.6759942627,0.8050659299,-1.155455709,-1.01112318,walking
15.33954758,7.381001129,-8.097710724,-0.7298822021,0.7748069167,-1.320514798,-1.215632677,walking
15.35946771,7.4065979,-7.611970825,-0.6493496704,0.6736209393,-1.316764832,-1.492443442,walking
15.37938771,7.151827698,-7.317982178,-0.4971162415,0.5338450074,-1.142713785,-1.799258232,walking
15.39930871,6.564000092,-7.327861633,-0.3112028503,0.3892450929,-0.825645864,-2.045769215,walking
15.41922871,5.862708435,-7.570057983,-0.2345622253,0.248938337,-0.4510338902,-2.193502665,walking
15.43914871,5.205275574,-7.75881546,-0.2589614868,0.1300527751,-0.1639364362,-2.281197548,walking
15.45906871,4.555626526,-7.989186401,-0.2302212524,0.09513901919,-0.005442444701,-2.277328014,walking
15.47898871,3.96196106,-8.225993958,-0.3514691162,0.08032926172,0.02396994829,-2.170119047,walking
15.49890871,3.627855835,-8.507558441,-0.4685256958,0.06120793521,-0.01615895703,-1.99297452,walking
15.51882871,3.441942444,-8.581654358,-0.503253479,0.03847936913,-0.1163768694,-1.782385826,walking
15.53874871,3.295846252,-8.695717163,-0.4649331665,0.01323378924,-0.2126178294,-1.55067265,walking
15.55866871,3.104544067,-8.630901947,-0.2764750671,0.03666346148,-0.2790005207,-1.281775236,walking
15.57858871,3.107986908,-8.811725922,-0.1374142456,0.1367125362,-0.3608223498,-1.00324285,walking
15.59850871,3.093916168,-8.994795227,-0.1963916016,0.2735953331,-0.4543173015,-0.7038279772,walking
15.61842871,3.197051697,-9.408385162,-0.4977149963,0.3815437257,-0.5489314198,-0.3800184727,walking
15.63834871,3.306923218,-9.710157623,-0.8258326721,0.4210618734,-0.5808333158,-0.0155499503,walking
15.65826871,3.573069763,-9.693991241,-1.058748322,0.3954085112,-0.5801977515,0.3093666434,walking
15.67818871,4.884642334,-10.83267334,-1.121018829,0.3534020185,-0.5736842752,0.4373930097,walking
15.69810871,5.193450165,-11.6984729,-1.227297821,0.1936489046,-0.3506404161,0.6639257669,walking
15.71802871,4.397106171,-11.01394638,-1.74581955,-0.2072755545,-0.1136371121,1.00506258,walking
15.73794871,4.167932739,-10.18721558,-0.8238867188,-0.3768868744,0.177662015,1.393270016,walking
15.75786971,4.304149475,-9.060658264,0.3400927734,-0.08155636489,0.3392698169,1.757728577,walking
15.77778971,4.728067932,-7.570357361,0.5378315735,0.443380177,0.4150823355,1.975419164,walking
15.79770971,6.268364868,-7.155569916,-0.4180805969,0.7877829075,0.4028306901,1.824181914,walking
15.81762971,7.831863556,-7.796537018,-1.763632507,0.7571076751,0.459525913,1.392937303,walking
15.83754971,7.414232025,-7.878267059,-2.955454102,0.3664570451,0.4832987785,1.037913442,walking
15.85746971,6.51385437,-8.090226288,-3.165766754,-0.1019618362,0.4730161726,0.8940582871,walking
15.87738971,6.205944672,-8.205187225,-2.461780701,-0.4090127051,0.3505912125,0.7807748914,walking
15.89730971,5.929469604,-8.282576294,-1.349593506,-0.4902700484,0.300984323,0.6914212704,walking
15.91722971,5.303920441,-8.050409088,-0.7289840698,-0.5126553178,0.3959928751,0.7001522779,walking
15.93714971,4.825365601,-7.48039444,-0.2065704346,-0.430318445,0.6194463372,0.7758445144,walking
15.95706971,4.669389954,-6.954388275,-0.07604187012,-0.2644768357,0.790588975,0.8563868403,walking
15.97698971,4.60083252,-6.631210327,-0.3921844482,-0.1361647546,0.8857166171,0.9224632382,walking
15.99690971,4.851261749,-6.665788422,-1.033899994,-0.1269212663,0.9114990234,0.9502097368,walking
16.01682971,5.123545532,-6.581064606,-1.513502655,-0.1670535952,0.7894458771,0.9245809913,walking
16.03674971,5.269641724,-6.703060913,-1.744472351,-0.168590039,0.5392012,0.8973858953,walking
16.05666971,5.452112274,-6.92460022,-2.079625397,-0.2128219455,0.1861320585,0.8570851088,walking
16.07658971,5.698200531,-7.262896729,-2.198777618,-0.3140652776,-0.06997371465,0.8098880053,walking
16.09650971,5.884263611,-7.87227951,-2.114203491,-0.4794152081,-0.08963681757,0.7955910563,walking
16.11642971,5.727988586,-7.914192352,-1.778152313,-0.6087936759,0.01583448797,0.8802127838,walking
16.13634971,6.06344101,-7.826624451,-1.438658295,-0.6875487566,0.2356001735,0.9642310143,walking
16.15627071,6.722071381,-7.976013794,-1.270408173,-0.732755065,0.4201069176,0.9853053689,walking
16.17619071,7.440876617,-8.164172516,-1.268462219,-0.735727191,0.4167639911,0.9638743997,walking
16.19611071,8.288713531,-8.450976105,-1.24735611,-0.7644261718,0.3180451095,0.8930002451,walking
16.21603071,8.99449585,-8.456514587,-0.7387138367,-0.6961992383,0.2522947788,0.7691066861,walking
16.23595071,9.557175751,-7.94368103,-0.1134640503,-0.5506625772,0.3367013037,0.5318753123,walking
16.25587071,9.707463226,-7.127278748,0.2173480225,-0.3653072119,0.5069438219,0.08261153102,walking
16.27579071,9.756112061,-7.955057373,0.2149530029,-0.14092879,0.492200166,-0.4400016665,walking
16.29571071,8.486003265,-9.034462738,-0.009131011963,0.04796399176,0.3994645476,-0.6543082595,walking
16.31563071,7.784412231,-10.18347336,-0.4969665527,0.1100537702,0.2092651576,-0.6654360294,walking
16.33555071,6.683152313,-9.995314636,-0.4331991577,0.209642157,-0.03411829844,-0.4578272104,walking
16.35547071,6.489904175,-8.810678101,-0.1209484863,0.4375135303,-0.4153106213,-0.3589752018,walking
16.37539058,7.362290039,-8.587492218,-0.05119354248,0.6901633739,-0.8546360135,-0.5229598284,walking
16.39531058,7.238946533,-8.938512268,-0.203127594,0.9202461839,-1.264977217,-0.6207563281,walking
16.41523058,7.248376923,-8.753946075,-0.5831872559,1.036340714,-1.458758235,-0.7073616385,walking
16.43515058,7.639363861,-8.400531006,-1.198707275,0.91121912,-1.506174088,-0.9211674333,walking
16.45507058,7.928412781,-8.24096283,-1.536105652,0.5944387317,-1.409373999,-1.230314612,walking
16.47499058,7.525001678,-8.165070648,-1.218915253,0.2791830301,-1.162418604,-1.476095557,walking
16.49491058,7.234455872,-7.957003326,-0.3592529297,0.1574883312,-0.8034622669,-1.695523739,walking
16.51483058,6.645879822,-7.28145813,-0.02709365845,0.08555084467,-0.4048777819,-1.923291564,walking
16.53475158,6.139033813,-7.004384308,0.119002533,0.02899763547,-0.01170863304,-2.157210827,walking
16.55467158,5.519172821,-7.30600708,0.3005749512,0.07287720591,0.2315157354,-2.336381435,walking
16.57459158,4.775219879,-7.766599274,0.3083587646,0.1927584857,0.3181072772,-2.420654535,walking
16.59451158,3.967499542,-8.232280884,-0.06496490479,0.2498799264,0.3119293451,-2.3624506,walking
16.61443158,3.134032745,-8.593030701,-0.2927911377,0.3118964434,0.2337709516,-2.148550987,walking
16.63435158,2.640359344,-8.876840515,-0.5257067871,0.3677955568,0.04580470175,-1.84392786,walking
16.65427158,2.273771667,-8.740773468,-0.9409432983,0.3188527226,-0.190024808,-1.507701278,walking
16.67419158,2.323917389,-8.650062103,-1.097667389,0.1933309138,-0.4080024958,-1.198773026,walking
16.69411158,2.131417694,-8.444988556,-0.7946974182,0.1309045851,-0.5729808211,-0.8452563882,walking
16.71403158,2.417622528,-8.468938751,-0.2582130432,0.2610395253,-0.7310413122,-0.5294143558,walking
16.73395158,2.79528717,-8.961264954,-0.233664093,0.4249023199,-0.7836892009,-0.200620234,walking
16.75387158,3.219954071,-9.375603333,-0.6465055847,0.4705232978,-0.6840885282,0.1044058278,walking
16.77379158,3.311264191,-9.618248749,-1.100361786,0.3499331176,-0.4481001496,0.4523858428,walking
16.79371158,3.591631165,-9.356443176,-1.301244049,0.1696359664,-0.173708722,0.7565039396,walking
16.81363158,4.717290344,-9.677525482,-1.174457703,0.07723655552,-0.01966865733,0.8514789343,walking
16.83355158,5.78726532,-11.37020554,-1.242715759,0.006719001103,0.1601854265,0.876196444,walking
16.85347158,4.82431778,-11.12741043,-1.744172974,-0.229028672,0.3881210983,1.135995507,walking
