time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
14.94707287,-8.577244388,20.79687143,17.66882975,3.909907818,-1.433935881,2.181669235,running
14.96699288,-19.34305949,21.11348179,11.34326157,2.660015345,1.148761988,4.306278706,running
14.98691187,-13.04015395,14.79107111,-3.460757614,0.2525678277,0.8533876538,2.165884972,running
15.00683188,-3.387608654,5.486924257,-3.883035343,0.558788538,0.2624024451,-0.4876886308,running
15.02675087,-3.838959908,-4.129881399,-13.32969404,-3.533091545,2.110195398,-2.67474246,running
15.04667088,-2.553477906,-24.29056407,3.963964608,0.09101020545,5.539772511,-3.243046999,running
15.06658987,-9.045422759,-38.86249674,5.717884598,-1.498250842,1.852707863,0.3814536631,running
15.08650988,-3.649081813,-11.00309044,-2.904191562,-1.841238618,-3.140103817,3.111527205,running
15.10642888,6.071365156,4.421131795,14.4276725,1.571939588,-3.878277302,3.142736673,running
15.12634887,15.66971349,9.137585987,8.358098931,3.382150412,0.7873117328,3.715971231,running
15.14626867,1.082573825,7.799019746,-1.317130788,4.038079739,2.580860376,5.339046955,running
15.16618767,1.630937257,-2.959669359,-4.408319961,3.26112318,0.3723268509,5.825737476,running
15.18610767,14.63714432,-16.98664328,-4.003954593,2.982693672,-3.30311203,3.790223837,running
15.20602667,11.92895143,-17.35300175,-3.318623496,2.157444239,-4.184468746,2.691998005,running
15.22594667,10.2249804,-4.955105376,-6.107590411,1.050813317,-3.125225306,1.594211102,running
15.24586567,6.722415782,4.88492417,-5.620683993,0.9206236005,-1.766244411,1.36412704,running
15.26578567,-0.2983432151,7.450597613,-5.697034011,0.6792285442,-1.937936425,1.617726326,running
15.28570467,-6.65694977,7.087697775,-2.860525725,0.2682285607,-2.250527859,1.434751749,running
15.30562467,-1.856776752,5.128610975,1.370031133,-0.3016424775,-2.158550501,0.1988260895,running
15.32554467,2.88133772,7.57165135,-1.253976473,-0.8466864228,-2.201286077,-1.094421506,running
15.34546367,5.657257158,10.72273633,-1.015713545,-1.156508207,-0.6760224104,-2.315842628,running
15.36538367,3.296430389,11.4542616,-0.5847760905,-1.499780416,1.62751627,-2.59902668,running
15.38530267,-0.8655206484,10.60320521,-0.8921955,-2.148941755,2.515133142,-2.629025698,running
15.40522267,-2.542551506,9.031328046,-1.770784237,-2.897940874,3.19445467,-2.749278545,running
15.42514167,-3.304238761,6.622427809,-9.809148645,-6.464999199,2.902307034,-3.948523283,running
15.44506167,8.482498444,-10.38995959,-2.181687376,-3.744972944,0.6593630314,-5.341218948,running
15.46498067,-0.8015386605,-28.67180324,14.97730492,-1.946476698,5.130924225,-2.857658625,running
15.48490067,-14.69349745,-47.47528401,-6.071597875,-2.872873783,4.569645882,-2.613442421,running
15.50482067,-11.96271793,-15.7298217,3.487063068,-1.097773433,6.072201729,-2.458823204,running
15.52473967,3.796025265,-2.357942922,1.356908226,1.700532198,3.759924412,-1.586078763,running
15.54465967,16.29514688,-1.035760578,-7.908780169,1.207289457,-0.1165134981,-0.8786635995,running
15.56457867,14.95771792,-0.2272093517,-8.199048818,-0.5240163803,-2.825624704,-0.9637222886,running
15.58449867,8.455363855,0.6273302257,-2.437608165,-1.613563776,-2.419790268,-1.262531877,running
15.60441767,1.129283284,2.427673892,4.235545848,-2.163128376,-3.029122114,-0.8643954396,running
15.62433767,-6.359383796,5.745904455,9.897194849,-1.560566425,-2.76923728,0.2916180491,running
15.64425667,-6.552907923,12.24875904,12.5750559,0.7817417383,-2.639177799,0.6975700855,running
15.66417667,-6.359539332,20.43398154,21.33874928,4.026203632,-2.049683332,1.459715605,running
15.68409667,-16.57880934,26.36906213,14.11869744,4.354159832,2.017650366,4.335143566,running
15.70401567,-23.71476536,21.37310284,-3.188449273,1.503419042,0.7888846993,4.019104481,running
15.72393567,-6.979975691,11.25260633,-11.17964244,-0.2062385827,-0.1213010624,0.1172563732,running
15.74385467,-3.431842841,-1.288531618,6.684038751,-0.9007716775,0.9713720083,-2.386323929,running
15.76377467,-5.203269394,-11.82272857,-38.02147534,-1.393397093,6.382626534,-3.846519232,running
15.78369367,3.881650722,-35.43675576,18.15942517,-0.01264653541,4.282082558,-3.493871212,running
15.80361367,-4.248405629,-32.04883224,-6.534562869,-2.732330322,-2.662185669,1.574703813,running
15.82353267,-0.09615424544,-5.111172239,8.089331664,-0.1527523845,-5.163388252,3.677225828,running
15.84345267,18.94776784,7.52209035,14.0108245,2.499460936,-2.227604389,2.991218567,running
15.86337267,2.963393451,10.37431361,2.654685023,3.535129786,1.463803411,4.440834522,running
15.88329167,-5.497694244,8.214152176,-3.574250901,3.586815596,2.474743605,5.76597929,running
15.90321167,-0.3506029243,-8.528946387,-8.574766338,2.838209867,0.1435359418,5.186901093,running
15.92313067,16.39566753,-19.65526105,1.596861731,2.71567893,-4.280045509,2.877294779,running
15.94305067,15.01550595,-16.70951683,-5.254499189,1.04092741,-4.49532795,2.437231064,running
15.96296967,14.71547129,-1.182809281,-4.658978986,0.7180087566,-2.211756229,1.604697347,running
15.98288967,5.125364016,10.71455724,-2.818937404,0.9384272099,-1.845559359,1.881346226,running
16.00280967,-7.600317909,11.39586078,-4.748946,0.6021404266,-1.840519786,2.62260437,running
16.02272867,-4.151098313,8.152558191,-0.9871998905,0.1550333053,-2.706018686,1.054535627,running
16.04264867,1.114043832,5.476016276,0.2382009476,-0.3024773598,-3.097550631,-0.5248013735,running
16.06256767,3.93911248,9.624226942,-1.009202378,-0.6834108233,-1.898086309,-2.130697727,running
16.08248767,6.869555701,10.96337498,-0.02105070725,-1.16151619,0.8972215056,-3.184877872,running
16.10240667,0.5026819868,11.26349151,-1.755711869,-2.294974566,3.135244846,-2.820233822,running
16.12232667,-2.105918133,9.845735843,1.587306211,-2.736716032,3.411330223,-3.011625051,running
16.14224567,-2.783105958,9.619304756,-5.810454208,-5.551839352,3.685805321,-3.859855413,running
16.1621655,11.14182265,-4.90367619,-18.60046545,-5.371999264,-0.08152782172,-7.24895668,running
16.1820855,5.87200083,-25.73699215,14.95018788,-0.8340506554,1.42860961,-5.048607826,running
16.2020045,-18.92494615,-54.92078227,2.103920724,-1.978924155,4.245431423,-2.22804904,running
16.2219245,-10.02269832,-21.12222455,0.6528290561,-2.436401129,4.782106876,-2.336287022,running
16.2418435,2.308808768,-2.78705663,1.384397449,0.1635014117,4.539629936,-2.135113478,running
16.2617635,11.35281124,0.07067471087,-6.077945613,1.696911216,1.107519865,-0.8847763538,running
16.2816825,16.4722953,-2.89132184,-8.944626117,0.3312992156,-2.147293568,-1.234052062,running
16.3016025,8.610607431,-2.169884187,-5.849391986,-0.8651340604,-2.920500994,-1.187252045,running
16.3215215,0.557413314,0.9265685034,1.258136329,-1.299928904,-2.551252604,-0.8775397539,running
16.3414415,-6.672112185,4.219197618,5.360340225,-1.814483523,-2.778448343,0.147291258,running
16.3613615,-9.628091367,9.782231573,10.00485846,-0.6232324243,-2.212210655,0.8444727063,running
16.3812805,-4.236849485,18.67052328,15.49196749,2.618938446,-2.021677971,1.071050525,running
