time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
14.95643667,-0.005650603026,-0.03942777514,-0.005344939828,-0.00233686436,-0.005929993466,0.001054326189,sitting
14.97635467,0.01541311428,-0.02476599153,0.006714942455,0.001832520124,-0.01044169441,0.003907366656,sitting
14.99627267,0.007596848756,-0.00773652412,-0.001980451941,0.002939208411,-0.01015255507,0.00132462522,sitting
15.01619167,-0.0008104240894,0.004223699681,-0.02730064988,0.001062740339,-0.001984514995,-0.00235583866,sitting
15.03610967,0.01516957775,0.01375710972,-0.002133648992,-0.002304985654,0.002029122785,-0.004678674042,sitting
15.05602867,0.01654265016,0.01702778634,-0.00799431324,-0.003476575715,0.005172005389,-0.0028450666,sitting
15.07594667,-0.004496801198,0.0283333778,-0.01623830259,-0.00233670068,0.002705459017,-0.003298076103,sitting
15.09586467,-0.01480938926,0.02649344176,-0.004843248725,0.001969364472,-0.0007153712213,-0.002157177776,sitting
15.11578367,-0.0219210653,0.0240419966,-0.01121028185,0.005346173421,-0.004715179093,-0.00161683606,sitting
15.13570167,-0.005137509853,0.02576688867,-0.00115073204,0.00108902622,-0.00420080265,0.005051198415,sitting
15.15561967,0.0158997488,0.009602991901,-0.01451103508,8.134183008e-05,-0.0009925966151,0.004011793528,sitting
15.17553867,0.01259197891,0.006809448078,-0.009896412492,0.001217489596,-0.001309063286,0.0034687554,sitting
15.19545667,0.01937752649,0.02149509564,-0.0002654635906,0.002508809557,0.006070861127,0.001904418343,sitting
15.21537467,-0.001649060994,-0.0007916764542,-0.007078639269,-0.002571008168,0.006453172769,0.003326002508,sitting
15.23529367,0.01820837572,0.004527827986,0.004305889606,9.889010107e-05,0.003728532232,0.001033823704,sitting
15.25521167,-0.00694839254,-0.005015814677,-0.002784444094,0.0035043729,-0.005744751077,0.001402403112,sitting
15.27512967,0.007014319897,0.007407983691,-0.002701998353,0.001941648079,-0.003713104408,0.001955800457,sitting
15.29504867,0.02245959386,-0.003187865429,-0.02229718745,-0.0009275987977,0.003154779319,-0.001481783926,sitting
15.31496667,0.02462803379,-0.01936689187,-0.008283165693,-0.005409880541,0.009800845757,-0.004161466844,sitting
15.33488567,0.03039119571,-0.01145787489,0.01634004414,0.001849732595,0.00397582585,-0.002346258378,sitting
15.35480367,0.004650436789,0.002996661477,-0.008615872264,0.003249429632,-0.00369251892,-0.0008615499828,sitting
