"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.782541675E-2,-4.319785535E-1,-9.175925851E-1,-2.112983912E-1
3.774541663E-2,-8.669261932E-1,-8.702815175E-1,-8.758195490E-2
5.766441673E-2,-8.379322290E-1,-5.213914514E-1,-9.904742241E-2
7.758441661E-2,-7.391026020E-1,-4.078388512E-1,-1.427898854E-1
9.750341671E-2,-1.031477332E0,-7.450236678E-1,-2.894827351E-2
1.174234166E-1,-1.551448703E0,-1.401408672E0,-9.367151558E-2
1.373434169E-1,-2.226469755E0,-1.814171433E0,-4.675617069E-2
1.572624166E-1,-2.810459614E0,-1.940965533E0,2.116759866E-1
1.771824169E-1,-3.144819021E0,-1.708054304E0,4.338862300E-1
1.971024168E-1,-3.112231493E0,-1.114145279E0,3.997777700E-1
2.170214169E-1,-2.711283207E0,7.598333061E-2,6.112157702E-1
2.369414167E-1,-1.624675870E0,1.759330034E0,1.362590909E0
2.568614166E-1,-5.522401333E-1,2.480361223E0,1.888505936E0
2.767804167E-1,-6.044250727E-1,-2.638663352E-1,1.022192359E0
2.967004166E-1,3.463519514E-1,5.808281898E-1,9.081068039E-1
3.166194167E-1,9.419571161E-1,8.151262999E-1,1.541655302E0
3.365394166E-1,1.219626904E0,9.239032865E-1,1.777332306E0
3.564594169E-1,1.011163950E0,1.990116477E0,2.007466793E0
3.763784165E-1,-1.454726756E-1,2.677012444E0,1.727840900E0
3.962984169E-1,-1.114844918E0,2.218167305E0,9.643921256E-1
4.162184168E-1,-1.076715350E0,1.907786846E0,1.135973692E0
4.361374169E-1,-4.411171377E-1,1.002167702E0,1.679445148E0
4.560574167E-1,5.127497911E-1,2.851444185E-1,2.251266241E0
4.759774166E-1,1.122893333E0,6.149270535E-1,2.292444229E0
4.958964167E-1,1.059371948E0,1.511670351E0,1.926191449E0
5.158164166E-1,5.915886760E-1,4.112054408E-1,1.284195662E0
5.357354167E-1,-1.394070983E-1,5.654526353E-1,4.071606100E-1
5.556554166E-1,-1.221806884E0,1.310937047E0,-3.223395646E-1
5.755754169E-1,-1.924122095E0,7.798964381E-1,-1.620733738E-1
5.954944165E-1,-2.127237320E0,-7.379908562E-1,-2.034622133E-1
6.154144169E-1,-1.949030161E0,-4.072706223E0,-4.160346389E-1
6.353344168E-1,-2.069477081E0,-5.371772766E0,-8.243659735E-1
6.552534169E-1,-4.087978363E0,-3.239831686E0,2.308555126E0
6.751734167E-1,-4.879106045E0,9.000769258E-1,4.173801899E0
6.950934166E-1,-2.792125702E0,1.245324492E0,2.500277758E0
7.150124167E-1,-2.028214484E-1,-1.040245414E0,9.000165761E-2
7.349324166E-1,-6.433742046E-1,-3.694456339E0,-1.207071424E0
7.548514167E-1,-1.647861838E0,-2.119134426E0,-9.741145372E-1
7.747714166E-1,-1.569461346E0,-1.799767733E0,-1.207064271E0
7.946910416E-1,-1.043539524E0,-1.680398583E0,-1.483344674E0
8.146100417E-1,-8.342195153E-1,-1.828976393E0,-1.150172591E0
8.345300416E-1,-4.617739916E-1,-1.444577336E0,-6.277051568E-1
8.544500419E-1,-5.389203429E-1,-6.425983906E-1,-4.781334400E-1
8.743690415E-1,-6.814749241E-1,-9.436166883E-1,-1.481096596E-1
8.942890419E-1,-2.632471025E-1,-1.721557975E0,2.163142711E-1
9.142090417E-1,-5.747585893E-1,-8.965676427E-1,5.968707204E-1
9.341280418E-1,-1.169703126E0,-4.100745022E-1,6.362793446E-1
9.540480417E-1,1.240770519E-1,-1.741534591E0,2.686363161E-1
9.739670418E-1,1.323401332E0,-3.038206577E0,-2.150728703E-1
9.938870417E-1,9.364454746E-1,-1.547837138E0,-1.294717938E-1
1.013807042E0,4.903490245E-1,-7.880966067E-1,-2.723237686E-2
1.033726042E0,3.014622033E-1,-9.139279723E-1,-2.060682699E-2
1.053646042E0,2.295388728E-1,-1.555617213E0,8.990734071E-2
1.073566042E0,4.728727415E-2,-1.851856470E0,2.274147719E-1
1.093485042E0,-1.617363244E-1,-1.438879609E0,2.718741894E-1
1.113405042E0,-1.203723922E-1,-1.065384507E0,1.091946602E0
1.133324042E0,-2.688555978E-2,-1.592456102E0,1.539912820E0
1.153244042E0,-2.207655758E-1,-1.815385818E0,1.556941390E0
1.173164042E0,-6.768585443E-1,-1.899900317E0,1.967967749E0
