"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.777303167E0,2.807138307E0,-9.479120100E-1,2.580920058E0
1.797222167E0,8.225230019E-1,-3.066028458E-1,3.453679852E0
1.817142167E0,-5.155555822E-1,-9.309369582E-1,2.047631772E0
1.837060792E0,6.246828988E-1,-8.601429641E-2,4.014002448E-1
1.856979792E0,1.206475155E0,-1.073683280E-1,-1.848100800E0
1.876899792E0,1.164989599E0,-2.448346138E-2,-1.360980374E0
1.896818792E0,2.739559405E-1,-1.482076210E-1,-8.100609773E-1
1.916737792E0,-3.423150077E-2,1.193948811E-1,-5.711408222E-1
1.936657792E0,-4.533548024E-1,-4.385224628E-1,6.860824639E-1
1.956576792E0,-3.736014122E-1,1.445724070E-2,1.164194085E0
1.976496792E0,-4.118082887E-1,-1.277505523E-1,6.185903925E-1
1.996415792E0,1.269614705E-1,6.248428202E-1,4.394743896E-1
2.016334792E0,-7.181521028E-2,3.945870692E-1,-2.496477494E-1
2.036254792E0,3.174045534E-1,9.476518089E-1,3.340163469E-2
2.056173792E0,8.268343002E-1,2.441528285E-1,5.476361847E-1
2.076092792E0,-6.583491200E-1,-5.996360582E-1,9.955323189E-1
2.096012792E0,-5.049684674E-2,4.113983989E-2,9.782546738E-1
2.115931792E0,-2.751945269E-1,7.739251846E-1,2.851242685E-1
2.135851792E0,-2.387596491E-1,6.203047961E-1,-4.675392705E-1
2.155770792E0,-4.472207808E-1,3.614029509E-1,3.654416227E-1
2.175689792E0,1.768423131E-1,-5.090164948E-1,7.338068533E-1
2.195609792E0,3.335941780E-1,-1.736751688E-1,1.577637255E-2
2.215528792E0,8.594553316E-1,5.347898519E-1,-5.736089319E-1
2.235447792E0,-1.677364442E-1,9.097986889E-1,-9.291392317E-1
2.255367792E0,-1.329465343E0,1.197528477E0,-2.088776874E0
2.275286792E0,-1.247257876E0,1.006331542E0,-1.643562858E0
2.295205792E0,-6.468473545E-1,4.676000816E-1,5.091872334E-2
2.315125792E0,3.126535445E-2,3.880621612E-1,7.645649618E-1
2.335044792E0,2.657267153E-1,8.345841998E-1,-9.575458825E-2
2.354964792E0,-1.345853627E-1,9.411625689E-1,-9.766785568E-1
2.374883792E0,-2.567605948E-1,9.255282837E-1,-6.412553698E-1
2.394802792E0,4.147646409E-1,1.049267061E0,-1.217545835E0
2.414722792E0,1.975780893E0,6.086027634E-1,4.942443815E-1
2.434641792E0,1.861823046E0,4.122737271E-1,1.685960726E0
2.454560792E0,7.717327711E-1,-6.598226184E-1,9.520252338E-1
2.474480792E0,-1.087104394E0,-1.809147819E0,9.962836862E-2
2.494399792E0,4.020402226E-1,1.977271056E-1,-1.861002389E0
2.514319792E0,1.495431835E0,1.939850630E0,-1.581628272E0
2.534238792E0,2.961422355E0,2.868370349E0,-4.612598287E0
