"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.833743333E0,4.893024902E0,-9.028475189E0,2.591111755E-1
1.853663333E0,4.896467743E0,-9.236841888E0,9.475296021E-2
1.873583334E0,4.892276459E0,-9.265133057E0,2.377056885E-1
1.893504333E0,4.720583496E0,-9.070687408E0,2.180964661E-1
1.913424334E0,5.857768707E0,-1.006387207E1,1.571731567E-2
1.933344333E0,6.120322723E0,-1.108953918E1,-4.932243347E-1
1.953264333E0,5.130880280E0,-1.055320450E1,-1.424737244E0
1.973184333E0,4.331991577E0,-9.692344666E0,-1.805096283E0
1.993104334E0,4.122876434E0,-7.929011536E0,-1.217717743E0
2.013024333E0,5.268893280E0,-6.476581879E0,-3.225791931E-1
2.032944333E0,7.342082062E0,-5.560786285E0,-7.559280396E-1
2.052864333E0,8.752449188E0,-6.223907318E0,-1.901196442E0
2.072784333E0,8.655151520E0,-6.649322662E0,-2.869682465E0
2.092704333E0,7.899822235E0,-6.818770294E0,-2.854563904E0
2.112624333E0,7.090605011E0,-7.084467773E0,-2.100282440E0
2.132544334E0,6.519841919E0,-7.269033966E0,-9.494755554E-1
2.152464333E0,5.728886719E0,-7.072642365E0,-1.814227295E-1
2.172384333E0,5.366939392E0,-6.598727875E0,2.100132751E-1
2.192305333E0,5.353766785E0,-6.208489380E0,2.496807861E-1
2.212225333E0,5.307812347E0,-5.942941589E0,5.942642212E-2
2.232145333E0,5.291346588E0,-5.913003845E0,-2.495310974E-1
2.252065334E0,5.371430054E0,-6.143225098E0,-6.559359741E-1
2.271985333E0,5.286556549E0,-6.527925110E0,-8.752299500E-1
2.291905333E0,5.525459747E0,-6.741381226E0,-9.969268799E-1
2.311825333E0,6.267017670E0,-6.896608429E0,-1.123114471E0
2.331745334E0,6.721173248E0,-6.957980804E0,-1.168470154E0
2.351665000E0,6.848258972E0,-6.856940918E0,-1.561552734E0
2.371585000E0,6.636000366E0,-6.860832825E0,-1.478774872E0
2.391505000E0,6.622079315E0,-6.998845825E0,-1.200653229E0
2.411425000E0,6.809040527E0,-7.301516418E0,-9.098080444E-1
2.431345000E0,6.878945160E0,-7.629334717E0,-7.649093628E-1
2.451265000E0,7.113357697E0,-7.849975891E0,-5.439688110E-1
2.471185000E0,7.555837555E0,-7.779173126E0,-5.451663208E-1
2.491106000E0,8.433612213E0,-7.673043823E0,-6.448590088E-1
2.511026000E0,1.003932312E1,-9.303153992E0,-6.137237549E-1
2.530946000E0,9.933942261E0,-1.071486832E1,-7.539820862E-1
2.550866000E0,9.305998077E0,-1.063029419E1,-1.128353577E0
2.570786000E0,9.000034332E0,-8.893755341E0,-1.413660278E0
2.590706000E0,8.940607910E0,-7.045997772E0,-1.051563263E0
2.610626000E0,8.978030090E0,-6.242319031E0,-4.177812195E-1
2.630546000E0,8.746611328E0,-6.969057770E0,7.005432129E-2
2.650466000E0,7.404951324E0,-7.594457245E0,2.231858826E-1
2.670386000E0,6.541995850E0,-7.808661804E0,9.505233765E-2
2.690306000E0,6.470444641E0,-7.863298187E0,1.761836243E-1
2.710226000E0,7.092251587E0,-7.661667480E0,2.740800476E-1
