"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.007529140E-2,-6.890584826E-1,-4.692152739E-1,-3.458664715E-1
3.999329172E-2,-4.074282050E-1,-1.130223423E-1,-3.811618686E-1
5.991229136E-2,-1.855092198E-1,1.569905430E-1,-3.797791898E-1
7.983129146E-2,-2.902877927E-1,1.807914376E-1,-2.840536833E-1
9.975029156E-2,-4.197879434E-1,2.782551385E-2,-2.054968476E-1
1.196682914E-1,-4.262457192E-1,-8.768851310E-2,-1.580856740E-1
1.395872915E-1,-3.845358491E-1,-9.184549749E-2,-1.513963193E-1
1.595062916E-1,-3.596592247E-1,-4.587488621E-2,-2.669002712E-1
1.794252917E-1,-5.217973590E-1,3.013039380E-2,-3.671089113E-1
1.993442914E-1,-8.085929155E-1,-8.405849338E-2,-4.677750468E-1
2.192622917E-1,-1.182099938E0,-4.886014163E-1,-5.943058133E-1
2.391812918E-1,-1.838175893E0,-9.453558326E-1,-7.831721306E-1
2.591002914E-1,-2.902788877E0,-1.323722720E0,-8.830311298E-1
2.790192915E-1,-4.136674881E0,-4.121203125E-1,-8.046588302E-1
2.989382916E-1,-4.495683193E0,-4.204492569E-1,-1.095785871E-1
3.188562915E-1,-3.801429987E0,7.596549988E-1,1.656215787E-1
3.387752916E-1,-2.458231211E0,2.204799891E0,7.399647832E-1
3.586942917E-1,-5.175451040E-1,9.971761107E-1,9.776838422E-1
3.786132918E-1,1.323873878E0,3.945013881E-2,1.197409272E0
3.985322914E-1,2.429715395E0,7.874138653E-2,1.351571083E0
4.184502917E-1,2.357716799E0,-7.468054295E-1,5.470168591E-1
4.383692914E-1,8.413911462E-1,-8.090757132E-1,2.393900454E-1
4.582882915E-1,-6.266117692E-1,-4.147063196E-2,1.691135168E0
4.782072916E-1,-1.551678896E0,-4.145976007E-1,2.916736841E0
4.981252914E-1,-1.643084884E0,-9.034503698E-1,3.728924990E0
5.180442915E-1,-3.719518483E-1,7.958555222E-1,3.643843889E0
5.379632916E-1,8.530179858E-1,1.984129310E0,3.310853481E0
5.578822917E-1,1.682826161E0,1.106929064E0,3.199522734E0
5.778012914E-1,5.271588564E-1,-2.472267389E0,1.883865833E0
5.977192917E-1,1.580964588E-2,-2.420789242E0,5.878287554E-1
6.176382913E-1,-5.911254883E-1,-1.574982643E0,4.831809103E-1
6.375572914E-1,-1.143445730E0,-1.178353310E0,5.802869201E-1
6.574762915E-1,-1.275025725E0,3.547080159E-1,1.948253870E0
6.773952916E-1,-1.616375804E0,2.085877419E0,2.500927687E0
6.973132915E-1,-1.774560809E0,1.442680240E0,1.864572644E0
7.172322916E-1,-1.829207659E0,5.773659945E-1,1.658308983E0
7.371512917E-1,-2.041789532E0,-1.146810532E0,1.795984864E0
7.570702913E-1,-2.396367311E0,-1.531476974E0,1.473023772E0
