"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.760357625E0,7.357648015E-1,-1.976579428E-2,1.994017810E-1
1.780277625E0,9.103932381E-1,-3.343610764E-1,-5.201981962E-2
1.800196625E0,5.584554076E-1,3.493440151E-1,4.820186272E-2
1.820116625E0,-9.503600746E-2,7.044475079E-1,3.276675940E-1
1.840035625E0,1.484254450E-1,2.113487124E-1,4.130024612E-1
1.859955625E0,3.600177467E-1,4.194314778E-1,6.909132004E-1
1.879874625E0,1.890726238E-1,9.925351739E-1,1.372776151E0
1.899794625E0,9.153527021E-1,-2.682897449E-1,2.078784227E0
1.919713625E0,1.451255560E0,-1.399933934E0,2.164491177E0
1.939633625E0,9.395856857E-1,-3.573206440E-2,3.091228008E0
1.959552625E0,-4.389109462E-2,1.593086839E0,3.527360439E0
1.979472625E0,5.657892302E-2,1.342169642E0,3.108006001E0
1.999391625E0,3.929789066E-1,1.009319544E0,2.565505981E0
2.019311625E0,3.382322788E-1,-1.362189353E-1,2.333727121E0
2.039230625E0,3.587614000E-1,-8.223223686E-1,2.104607821E0
2.059150625E0,8.687790036E-1,-6.229057312E-1,1.789638042E0
2.079069625E0,8.387319446E-1,-3.344478011E-1,1.883002043E0
2.098989625E0,8.261656016E-2,-9.393163919E-1,2.482430220E0
2.118908625E0,-7.904896736E-1,-1.592965603E0,2.339736700E0
2.138828875E0,-2.270249873E-1,-1.017796040E0,1.923104286E0
2.158747875E0,-3.150756061E-1,-3.772870451E-2,2.234392643E0
2.178666875E0,-6.544259191E-1,-4.166893363E-1,2.353564501E0
2.198586875E0,-1.623193622E-1,-1.940992475E0,1.652117968E0
2.218505875E0,6.809203029E-1,-2.139008522E0,1.369169354E0
2.238425875E0,6.258941889E-1,-1.637653828E0,1.488468051E0
2.258344875E0,-1.051839441E-2,-1.581737161E0,1.680940866E0
2.278264875E0,-4.497121572E-1,-2.097429037E0,1.531888485E0
2.298183875E0,-6.017265916E-1,-2.522549868E0,1.462836981E0
2.318103875E0,-6.561849117E-1,-2.903982401E0,1.341656804E0
2.338022875E0,-8.712596893E-1,-2.903274298E0,1.621991038E0
2.357942875E0,-1.590554714E0,-2.924445629E0,1.847066164E0
2.377861875E0,-1.437194347E0,-3.128288984E0,1.614713669E0
2.397781875E0,-7.554594278E-1,-2.742042780E0,1.484666467E0
2.417700875E0,1.381302029E-1,-2.982741594E0,1.389318109E0
2.437620875E0,6.215282083E-1,-3.184000731E0,1.258020997E0
2.457539875E0,1.288969278E0,-3.331804276E0,1.203630805E0
2.477459875E0,1.229694843E0,-3.062880516E0,1.270735264E0
2.497378875E0,2.137089707E-2,-2.241701841E0,1.364269137E0
2.517298875E0,-4.912112653E-1,-2.098947287E0,1.413091540E0
2.537217875E0,-2.199370861E-1,-1.520761847E0,1.241556048E0
2.557137875E0,2.258079499E-1,-1.043934822E0,1.079079032E0
2.577056875E0,-2.432481647E-1,-8.542338610E-1,9.199194908E-1
2.596976875E0,-4.481221139E-1,-7.172178030E-1,5.743703246E-1
2.616895875E0,2.071888894E-1,-4.049853086E-1,6.534702182E-1
2.636815875E0,3.739647269E-1,-1.672152638E0,6.499628425E-1
2.656734875E0,-2.555377483E-1,-7.639980912E-1,1.022128582E0
2.676654875E0,-4.849127308E-2,-1.351828933E0,9.926341772E-1
2.696573875E0,-2.495687455E-1,-7.793408036E-1,1.379890203E0
2.716493875E0,1.170262471E-1,-4.229055047E-1,1.287673712E0
2.736412875E0,2.817166746E-1,-2.445383668E-1,7.444752455E-1
2.756332875E0,9.996175021E-2,3.057681918E-1,5.494905710E-1
2.776251875E0,-9.079013020E-2,6.628154516E-1,1.459224429E-2
2.796171875E0,1.643174738E-1,9.163735509E-1,-3.025020957E-1
2.816090875E0,1.278640389E0,1.852052689E0,-8.652437329E-1
2.836010875E0,1.722250342E0,3.339321375E0,-1.666765571E0
2.855929875E0,1.325517654E0,4.005006790E0,-2.135144472E0
2.875849875E0,-3.819730580E-1,1.632973433E0,-1.493314862E0
2.895768875E0,-1.170258880E0,-1.086568758E-1,-9.552679062E-1
2.915688875E0,-6.636183858E-1,-4.071404934E-1,-5.604409575E-1
2.935607875E0,-3.231888115E-1,1.766502857E-1,7.412956953E-1
2.955527875E0,-9.915035367E-1,9.773709178E-1,1.643571973E0
2.975446875E0,-1.538761735E0,1.582398891E0,1.129450321E0
2.995365875E0,-9.304894805E-1,3.712668121E-1,9.300530553E-1
3.015285875E0,-1.888414472E-2,4.128199220E-1,7.957759500E-1
3.035204875E0,2.612907887E-1,5.099498630E-1,6.456407905E-1
3.055124875E0,4.405281972E-3,4.881770313E-1,5.867095590E-1
3.075044875E0,-7.291197777E-2,-4.372101426E-1,7.785774767E-2
3.094963875E0,1.282915026E-1,-4.314703345E-1,-4.417254925E-1
3.114882875E0,4.411549866E-1,-1.262022704E-1,-5.352892876E-1
3.134802166E0,1.760454476E-1,-3.250173926E-1,1.775015444E-1
3.154721166E0,-3.532485962E-1,2.249430567E-1,6.251168251E-1
3.174641166E0,-6.141197085E-1,1.589058042E-1,2.227683812E-1
3.194560166E0,-2.349967808E-1,-2.640486956E-1,2.362834476E-2
3.214480167E0,1.084615104E-2,-3.189574182E-2,-1.871328801E-1
3.234399166E0,2.109676041E-2,-5.327376071E-3,-4.079808593E-1
3.254319167E0,-4.971467257E-1,-8.849839568E-1,4.301537573E-1
3.274238166E0,-2.635902762E-1,1.203416735E-1,8.849048018E-1
3.294158167E0,-1.430393308E-1,1.380594373E-1,1.514931679E0
3.314077166E0,6.468808651E-1,3.879789412E-1,1.839278817E0
3.333997167E0,1.069627285E0,7.638950348E-1,1.904135346E0
3.353916166E0,1.120706201E0,1.117912769E0,2.116658449E0
