"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.745515292E0,-3.201634437E-2,-1.920649782E-2,3.260503709E-1
1.765434292E0,1.336580962E-1,2.240568399E-2,2.956378460E-1
1.785353292E0,5.181077123E-2,1.376048625E-1,3.887835145E-1
1.805271292E0,-2.049489617E-1,2.315240502E-1,4.717444181E-1
1.825190292E0,-3.302587569E-1,3.525038958E-1,4.268078804E-1
1.845109292E0,-1.722111106E-1,3.196038008E-1,3.235773146E-1
1.865028291E0,1.636733711E-1,-5.163780227E-2,2.649632990E-1
1.884947292E0,4.392101765E-1,-3.888075352E-1,3.213027418E-1
1.904866292E0,5.920239687E-1,-4.178578556E-1,3.049719930E-1
1.924784292E0,6.168451309E-1,-6.789757013E-1,3.416351676E-1
1.944703292E0,6.213235855E-1,-7.845241427E-1,4.339320660E-1
1.964622292E0,6.804141998E-1,-7.706229091E-1,4.085351229E-1
1.984541292E0,9.190191627E-1,-6.155271530E-1,4.021371305E-1
2.004460291E0,8.329005837E-1,-3.366155922E-1,3.067933321E-1
2.024379292E0,2.614631951E-1,2.732520103E-1,1.037379578E-1
2.044297292E0,-2.817238867E-1,8.344674706E-1,2.451313101E-2
2.064216292E0,-4.551857114E-1,8.010498285E-1,1.122360677E-1
2.084135292E0,-3.534666598E-1,6.976354122E-1,-7.194119692E-2
2.104054292E0,-3.298083246E-1,4.544026554E-1,-1.985633224E-1
2.123973292E0,-2.447905242E-1,4.634767175E-1,-3.315160871E-1
2.143892291E0,-1.089280620E-1,4.240922332E-1,-3.382940888E-1
2.163810292E0,-1.930371299E-2,1.751241982E-1,-1.794048399E-1
2.183729292E0,-1.376957893E-1,2.930335701E-1,-2.944196202E-2
2.203648292E0,-3.109036088E-1,4.395557940E-1,7.456618547E-2
2.223567292E0,-2.540998757E-1,4.178527594E-1,1.390780807E-1
2.243486292E0,-6.349400431E-2,3.012337089E-1,1.267124861E-1
2.263405292E0,2.876994759E-2,1.992229521E-1,1.861420125E-1
2.283323292E0,-8.529740572E-2,2.393257767E-1,2.276755720E-1
2.303242292E0,-2.448271215E-1,4.935397208E-1,2.983915508E-1
2.323161292E0,-2.335500121E-1,2.260959595E-1,3.437846005E-1
2.343080292E0,-1.361727566E-1,3.615013510E-2,2.984453142E-1
2.362999292E0,-3.770452440E-1,4.405573756E-2,2.966064513E-1
2.382917291E0,-7.400398254E-1,6.421791017E-2,5.228242278E-2
2.402836292E0,-9.577737451E-1,1.900567561E-1,-2.740598656E-2
2.422755292E0,-1.036910653E0,5.039423704E-1,-3.298234940E-2
2.442674292E0,-8.447276950E-1,6.385132670E-1,1.074956581E-1
