"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.790671667E0,4.075588832E0,1.282475072E0,-8.875680135E-1
1.810591667E0,2.657775861E0,2.100495279E-1,-9.305043373E-1
1.830511667E0,2.798109037E-1,6.812134874E-1,-2.462918569E0
1.850430667E0,-1.350630802E0,1.148959749E0,-1.217197925E0
1.870350667E0,7.945740420E-1,2.726656061E-1,-8.688564849E-1
1.890270667E0,2.953428626E-2,-1.426621217E-1,-7.085796261E-1
1.910189667E0,1.815667464E0,3.950940228E-1,1.953289286E0
1.930109667E0,5.147436086E0,-1.067454241E0,9.534600821E0
1.950028667E0,4.725012177E0,-3.601005421E0,6.832810628E0
1.969948667E0,-1.253445985E0,-3.833515858E0,-2.902294725E0
1.989868667E0,-4.216485679E-1,-2.260341198E0,-4.707812592E0
2.009787667E0,1.630001410E0,-2.794289051E0,1.680459373E0
2.029707667E0,-1.608836244E0,-2.465319436E0,-5.819460089E0
2.049627667E0,1.068927155E0,1.859636772E-1,-3.952389752E0
2.069546667E0,2.580601970E0,-4.730982184E-3,3.174451039E0
2.089466667E0,3.436048450E0,-2.030451483E-1,6.920313041E0
2.109385667E0,4.437200528E-1,-6.459998006E-1,4.855305099E0
2.129305667E0,-5.366945824E0,1.226043009E0,-7.155499749E0
2.149225667E0,-3.071812524E0,2.569691650E0,-1.851367055E0
2.169144667E0,-3.374845644E0,2.739386619E0,-1.564574575E0
2.189064667E0,-3.160929353E0,1.853296051E0,-2.329548842E0
2.208983667E0,-1.357880180E0,1.307229259E0,-3.871590587E-1
2.228903667E0,-5.659215975E-1,1.059634175E0,-2.256757439E0
2.248823667E0,-8.562966657E-1,-5.387039781E-3,-1.298302900E0
2.268742667E0,-1.612285516E0,5.395243424E-1,-2.993792833E0
2.288662667E0,-3.792562544E-2,1.450583691E0,-9.415999407E-1
2.308582667E0,-2.192483675E-1,3.911845744E-1,2.025641417E0
2.328501667E0,4.736127734E-1,3.628168076E-1,2.759988699E0
2.348421667E0,2.002543307E0,7.772352934E-1,4.160966367E-1
2.368340667E0,1.905855503E0,1.137686902E-1,-3.048199128E0
2.388260667E0,7.184327692E-1,2.373384833E-2,-3.376241667E0
2.408180667E0,-5.714612496E-1,2.118767828E-1,-2.334808998E0
2.428099667E0,-1.359059563E0,4.725743079E-1,-3.744465687E0
2.448019667E0,-3.590359980E-1,3.092481261E-1,-4.472149336E0
2.467939667E0,5.733832294E-1,-2.822252190E-1,1.487283155E0
2.487858667E0,2.260467498E0,-2.700653493E-1,1.116026711E1
2.507778667E0,1.122727386E0,-4.716826075E-1,4.406435988E0
2.527697667E0,6.554202497E-2,7.993149644E-1,-2.921592876E0
2.547617667E0,-8.290919101E-1,9.321853387E-1,-2.589158785E0
2.567537667E0,-1.506219363E0,-1.417967337E-1,-5.786827071E-1
2.587456667E0,1.242205882E-1,-1.380387282E-1,-7.307686400E-1
2.607376667E0,-7.442359471E-1,1.282879114E-3,-1.015811632E0
2.627296667E0,-2.062991822E0,-3.835457718E-1,-4.781034350E-1
2.647215667E0,-1.160445435E0,-7.874515486E-1,1.405313232E-1
2.667135667E0,1.080062592E-1,-3.826675200E-1,1.377841989E0
2.687054667E0,-3.872236705E-1,5.658520156E-1,9.058073795E-1
2.706974667E0,-1.363556657E0,-5.210430479E-1,6.173478591E-1
2.726894667E0,-8.016544354E-1,1.159444392E-2,1.156133698E0
2.746813667E0,-3.085493839E-1,1.974006556E0,-2.320206746E0
2.766733667E0,-5.199028409E-1,2.933638725E0,-2.808396628E0
2.786652750E0,-7.008075070E-1,2.655124733E0,-6.522487199E-1
2.806572750E0,1.074437571E0,1.540645430E0,-7.106624043E-1
2.826492750E0,8.913062847E-1,5.848876262E-1,-3.068711599E-1
2.846411750E0,-1.699200869E-1,1.030257179E0,2.019423634E0
2.866331750E0,1.355563513E0,9.520845830E-2,2.288746387E0
2.886251750E0,2.831329115E0,-1.812747949E0,3.417281227E0
2.906170750E0,2.426522283E0,-3.906953378E0,2.529541744E0
2.926090750E0,1.595629722E0,-2.267146772E0,-8.423674285E-1
2.946009750E0,-5.178235710E-2,-2.203789267E0,-1.862517110E0
2.965929750E0,-3.828771427E-1,-2.633792337E0,-7.191152123E-1
