"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.757383167E0,-1.002615571E0,-1.387268066E0,6.558485627E-1
1.777303167E0,-1.792608351E-1,-3.933002651E-1,-7.360106707E-2
1.797222167E0,3.358634412E-1,-5.239674449E-1,-7.937107235E-2
1.817142167E0,5.598813891E-1,-4.446581900E-1,-4.526129924E-3
1.837060792E0,4.442554116E-1,-1.151355132E-1,-7.071047276E-2
1.856979792E0,5.194055662E-2,8.898492903E-3,-2.331459969E-1
1.876899792E0,-1.641314030E-1,3.356273174E-1,-2.598755956E-1
1.896818792E0,-2.432408929E-1,5.137061477E-1,-2.820554674E-1
1.916737792E0,-2.174014300E-1,3.519775569E-1,-3.081611097E-1
1.936657792E0,-5.161480606E-2,1.209110674E-2,-2.054075748E-1
1.956576792E0,1.153169274E-1,-1.504637152E-1,-1.706842035E-1
1.976496792E0,2.304274738E-1,-3.467922509E-1,-1.643413603E-1
1.996415792E0,2.469526678E-1,-5.177561641E-1,-7.547593862E-2
2.016334792E0,1.156391650E-1,-7.569604516E-1,-9.506401420E-2
2.036254792E0,5.152644217E-2,-1.112128735E0,-1.995819062E-1
2.056173792E0,1.501298845E-1,-1.367810488E0,-2.795731425E-1
2.076092792E0,2.937821746E-1,-1.285879374E0,-2.280545533E-1
2.096012792E0,4.642080367E-1,-1.012805700E0,-2.023707628E-1
2.115931792E0,4.476062357E-1,-1.071789384E0,-9.757377952E-2
2.135851792E0,3.718314171E-1,-1.335802436E0,1.350069940E-1
2.155770792E0,5.446146727E-1,-1.803455710E0,2.339900434E-1
2.175689792E0,6.571171284E-1,-2.213523626E0,1.693804264E-1
2.195609792E0,5.381153822E-1,-2.456547737E0,1.433251202E-1
2.215528792E0,4.818941355E-1,-2.250210524E0,7.271672785E-2
2.235447792E0,4.797020555E-1,-1.594406128E0,1.850232929E-1
2.255367792E0,2.939737737E-1,-1.081647277E0,4.153795242E-1
2.275286792E0,1.123189777E-1,-8.412613273E-1,5.661231875E-1
2.295205792E0,4.737365246E-2,-1.021415830E0,5.901787281E-1
2.315125792E0,5.191679299E-2,-1.077436686E0,5.743984580E-1
2.335044792E0,-6.660632789E-2,-1.107242227E0,6.413891912E-1
2.354964792E0,-2.421109974E-1,-1.242575169E0,7.261829376E-1
2.374883792E0,-3.840630651E-1,-1.444306970E0,7.456557155E-1
2.394802792E0,-5.293462276E-1,-1.384505033E0,5.825607777E-1
2.414722792E0,-4.362206459E-1,-1.445195317E0,3.612979352E-1
2.434641792E0,-1.295721382E-1,-1.186603904E0,2.371461540E-1
2.454560792E0,-6.255915016E-2,-6.911434531E-1,3.326628208E-1
2.474480792E0,-8.942734450E-2,-2.619765997E-1,7.314362526E-1
2.494399792E0,-5.088774562E-1,-6.958508492E-2,5.104367733E-1
2.514319792E0,-6.871879101E-1,5.130722523E-1,6.219457835E-2
2.534238792E0,-1.528130412E0,3.599428236E-1,-3.464936018E-1
2.554157792E0,-1.721941710E0,-8.041821122E-1,-1.391201615E-1
2.574077792E0,-9.210651517E-1,-6.661243439E-1,-2.038474828E-1
2.593996792E0,-2.607650757E-1,-7.455886900E-2,4.263605550E-2
2.613915792E0,-2.532365322E-1,-9.488900006E-2,3.001967669E-1
2.633835792E0,-8.281592727E-1,-5.484251976E-1,2.775463164E-1
2.653754792E0,-9.106140733E-1,-9.197682142E-1,3.825166523E-1
2.673673792E0,-2.988719642E-1,-6.607403159E-1,3.792747855E-1
2.693593792E0,1.157216132E-1,-2.074894905E-1,4.633049965E-1
2.713512792E0,3.018286824E-1,1.652624086E-2,4.056164026E-1
2.733432792E0,4.165429473E-1,-1.066884518E0,2.176374346E-1
2.753351792E0,7.425726652E-1,-1.843071342E0,-1.028361730E-2
2.773270792E0,1.008537650E0,-1.434508443E0,-1.087172478E-1
2.793190792E0,1.068949342E0,-2.150677294E-1,-1.989794970E-1
2.813109792E0,8.422139883E-1,3.518494964E-1,-8.109289408E-1
2.833028792E0,5.765566826E-1,1.001788378E0,-1.579218388E0
2.852948667E0,5.370655060E-1,1.215898514E0,-1.743399620E0
2.872867667E0,2.077297717E-1,-6.745534539E-1,-1.407899559E-1
2.892786667E0,-1.079135537E-1,-1.612361312E0,2.017155409E0
2.912706667E0,-7.475728989E-1,6.998314261E-1,1.056650400E0
2.932625667E0,-1.043514848E0,9.064123631E-1,-6.784846187E-1
2.952545667E0,5.269238949E-1,-1.153300405E0,-2.716742158E-1
2.972464667E0,7.481524944E-1,-6.931558847E-1,-3.505860567E-1
2.992383667E0,4.106993675E-1,2.851028144E-1,-6.410049740E-3
3.012303667E0,-1.478757113E-1,1.452298760E0,5.052832961E-1
3.032222667E0,-1.205169559E0,-2.174077928E-1,7.061681747E-1
3.052141667E0,-9.020026326E-1,-9.306515455E-1,3.717846572E-1
3.072061667E0,-9.999299645E-1,-9.334493279E-1,1.827441603E-1
3.091980667E0,-1.216761947E0,-4.721616507E-1,3.248661458E-1
3.111900667E0,-9.208375216E-1,-3.070371747E-1,1.784048080E-1
3.131819667E0,-7.040807009E-1,-3.527726531E-1,3.998807371E-1
3.151738667E0,-3.729930520E-1,-6.197139025E-1,2.542585731E-1
3.171658667E0,7.738332450E-2,-3.967713118E-1,1.187257618E-1
3.191577667E0,5.122554898E-1,-6.909329295E-1,-3.575542197E-2
3.211496667E0,6.006234884E-1,-3.290598094E-1,-1.355371089E-3
3.231416667E0,4.740842283E-1,-2.906177521E0,7.407088876E-1
3.251335667E0,-8.457335830E-1,-2.238276720E0,1.263386756E-1
3.271254667E0,-5.467704535E-1,1.452831030E0,4.075986147E-2
3.291174667E0,-8.146426082E-1,1.300515413E0,-3.484893739E-1
3.311093667E0,-8.466176391E-1,2.195479423E-1,-7.095692754E-1
3.331013667E0,-9.742797613E-1,1.420167804E0,-4.744462371E-1
3.350932667E0,-7.051508427E-1,5.253900290E-1,1.837309957E0
3.370851667E0,7.454318553E-2,-2.025894076E-1,1.276098013E0
3.390771667E0,8.022121191E-1,-1.711082011E-1,5.320309997E-1
3.410690667E0,6.216696501E-1,-6.255901456E-1,9.879966974E-1
3.430609667E0,3.685800731E-1,-7.463998795E-1,1.396861672E-1
3.450529667E0,1.450200081E-1,-5.972740799E-2,-1.637022048E-1
3.470448667E0,-1.545957476E-1,1.587916464E-1,-2.164170742E-1
3.490367667E0,-3.308607638E-1,2.740746737E-1,-1.938622296E-1
3.510287667E0,-3.250634670E-1,2.573737204E-1,3.602220118E-1
3.530206667E0,-9.760840535E-1,1.135795474E0,1.022300124E0
3.550126667E0,-4.613606036E-1,5.263159275E-1,1.952129722E0
3.570045667E0,7.323405743E-1,-5.836788416E-1,2.602136135E0
3.589964667E0,9.344453812E-1,-1.380072594E0,2.242459297E0
3.609884667E0,-1.615435481E0,-1.268874407E0,1.241075635E0
3.629803667E0,-1.767272472E0,-2.503139675E-1,1.659327419E-3
3.649722667E0,-4.367658496E-1,-2.133376449E-1,-3.198662400E-1
3.669642667E0,4.955851473E-3,9.146766067E-1,1.302436739E-1
3.689561667E0,-7.984735817E-2,7.192987800E-1,1.503433436E-1
3.709480667E0,1.869355291E-1,1.019059345E-1,6.398423109E-3
3.729400667E0,3.095611930E-1,-7.191117108E-2,-2.544446103E-2
3.749319667E0,2.127896398E-1,-1.124938279E-1,-2.065047920E-1
3.769239667E0,1.460631639E-1,-7.173994184E-2,-2.290271521E-1
3.789158667E0,2.324775904E-1,1.841956377E-1,-1.704538427E-2
3.809077667E0,-5.264999866E-1,9.254893064E-1,-2.069844306E-1
3.828997667E0,-1.226532385E-1,6.564472318E-1,-9.966675937E-2
3.848916750E0,2.156837434E-1,9.851474762E-1,-1.014548019E-1
3.868835750E0,-2.501598001E-1,1.316146135E0,1.024804786E-1
3.888755750E0,2.186604142E-1,1.146453381E0,1.127645448E-1
3.908674750E0,1.990795434E-1,9.800934792E-1,-2.033327073E-1
3.928593750E0,3.923863173E-2,1.208831191E0,-9.586216509E-2
3.948513750E0,8.306476474E-2,1.203424215E0,-2.471555397E-2
3.968432750E0,-3.702184558E-1,1.217884183E0,-3.075347245E-1
3.988352750E0,-4.836165905E-1,1.159600735E0,-4.096304774E-1
4.008271750E0,8.528979961E-4,9.450334311E-1,1.085924357E-1
4.028190750E0,3.164584190E-2,1.261574388E0,1.477275938E-1
4.048110750E0,5.848793313E-2,1.695923090E0,3.229252398E-1
4.068029750E0,1.270272583E-1,1.871753931E0,2.190150768E-1
4.087948750E0,5.575979501E-2,1.768964291E0,2.330568731E-1
4.107868750E0,8.178067952E-2,1.569085836E0,1.646059006E-1
4.127787750E0,8.412668109E-2,1.515691161E0,2.057424188E-1
4.147706750E0,7.677346468E-2,1.427985311E0,2.142517567E-1
4.167626750E0,8.513601869E-2,1.396373749E0,2.627452612E-1
4.187545750E0,1.018271819E-1,1.466730475E0,2.154222131E-1
4.207465750E0,1.809258163E-1,1.439645648E0,2.218308449E-1
4.227384750E0,1.819909215E-1,1.438053846E0,2.774863839E-1
4.247303750E0,1.303216368E-1,1.280220509E0,2.057256401E-1
4.267223750E0,7.590905577E-2,1.161839247E0,4.593331739E-2
4.287142750E0,2.294076793E-2,1.063457251E0,-1.313245595E-1
4.307061750E0,-4.781379364E-3,8.808640242E-1,-1.595860124E-1
4.326981750E0,-5.456698593E-3,7.657585144E-1,-1.149011031E-1
4.346900750E0,-8.900029212E-2,9.127952456E-1,6.978352368E-2
4.366819750E0,-2.832381725E-1,9.616854191E-1,2.162472606E-1
4.386739750E0,-5.162695050E-1,1.122158289E0,8.170889318E-2
4.406658750E0,-5.453072786E-1,1.146378279E0,1.435493529E-1
4.426577750E0,-6.646250486E-1,1.443654299E0,2.084686980E-2
4.446497750E0,-9.911337495E-1,2.191162586E0,-5.622512102E-1
4.466416750E0,-1.425280690E0,2.975281477E0,-1.311093211E0
4.486336750E0,-1.485328913E0,2.941344500E0,-1.181412935E0
4.506255750E0,-1.596241236E0,3.097395420E0,-6.459008455E-1
4.526174750E0,-1.705875278E0,3.290878773E0,-3.480305076E-1
4.546094750E0,-1.905379415E0,3.693987131E0,3.770649135E-1
4.566013750E0,-2.006134987E0,4.005237579E0,5.085960031E-1
4.585932750E0,-2.054399014E0,3.982343197E0,7.845162749E-1
4.605852750E0,-2.319884062E0,2.734280348E0,1.046599388E0
4.625771750E0,-2.020629883E0,1.601698399E0,9.781970382E-1
4.645690750E0,-1.354946494E0,2.228974342E0,7.294735312E-1
4.665610750E0,-9.357408285E-1,2.664406300E0,3.299599886E-1
4.685529750E0,-6.705330610E-1,2.832567453E0,4.681935161E-2
4.705448750E0,-5.928823352E-1,2.311420202E0,2.638331614E-2
4.725368750E0,-6.997462511E-1,1.613302350E0,1.356711984E-1
4.745287750E0,-9.130666852E-1,1.103452802E0,3.370091021E-1
4.765207750E0,-9.078323841E-1,9.620263577E-1,5.572738051E-1
4.785126750E0,-6.699694395E-1,1.025542855E0,6.838418841E-1
4.805045750E0,-4.047782421E-1,1.190009475E0,7.036349773E-1
4.824965750E0,-2.424306273E-1,1.197252989E0,7.278836370E-1
4.844885000E0,9.439294040E-2,1.300186753E0,6.205680966E-1
4.864804000E0,4.310984910E-1,1.445055604E0,5.203253627E-1
4.884724000E0,6.070457697E-1,1.650303960E0,3.956726789E-1
4.904643000E0,3.178600967E-1,1.292132616E0,2.328965515E-1
4.924562000E0,-2.714701891E-1,1.116608381E0,1.448740065E-1
4.944482000E0,-2.226475924E-1,7.266680002E-1,-4.285756648E-1
4.964401000E0,1.266326606E-1,-3.904109821E-2,-9.306372404E-1
4.984320000E0,5.907974392E-2,-5.721515417E-2,-9.318447113E-1
5.004240000E0,-1.000429168E-1,5.599645972E-1,-4.833912551E-1
5.024159000E0,3.952723742E-1,5.017315149E-1,-5.230670050E-2
5.044078000E0,8.472613096E-1,-3.245134950E-1,5.964552760E-1
5.063998000E0,1.371168137E0,-4.670270383E-1,1.065506458E0
5.083917000E0,1.275488138E0,1.330353171E-1,1.280364156E0
5.103837000E0,8.146482706E-1,6.392183900E-1,1.515588641E0
5.123756000E0,3.886468410E-1,1.594503641E0,1.183418393E0
5.143675000E0,-3.202326223E-2,2.236851692E0,4.973356426E-1
5.163595000E0,-7.611239702E-2,1.858714104E0,4.924647212E-1
5.183514000E0,1.304121315E-1,1.210291982E0,4.119746983E-1
5.203433000E0,3.435311317E-1,8.715074062E-1,4.506219327E-1
5.223353000E0,4.325657487E-1,5.883204937E-1,3.843968511E-1
5.243272000E0,4.963324368E-1,4.769889414E-1,4.005281627E-1
5.263191000E0,3.930634856E-1,3.428480029E-1,4.353295565E-1
5.283111000E0,2.582709789E-1,1.681686938E-2,5.369128585E-1
5.303030000E0,3.055274189E-1,-4.803677648E-2,6.381571889E-1
5.322949000E0,3.091123998E-1,1.849069819E-2,6.596744657E-1
5.342869000E0,3.162413538E-1,-5.231882632E-2,6.528397202E-1
5.362788000E0,3.115301430E-1,-3.559745848E-1,6.853817105E-1
5.382707000E0,2.993243635E-1,-5.663470030E-1,6.944955587E-1
5.402627000E0,2.685218751E-1,-3.788012862E-1,8.164566755E-1
5.422546000E0,1.678931415E-1,8.873172849E-2,8.149921298E-1
5.442465000E0,3.995241970E-2,5.020347238E-1,6.444430351E-1
5.462385000E0,1.223308221E-2,6.244301200E-1,4.449635148E-1
5.482304000E0,8.006075025E-2,3.934302032E-1,3.436749876E-1
5.502223000E0,1.172309294E-1,1.771958321E-1,3.411982656E-1
5.522143000E0,1.565531790E-1,-1.344541311E-1,5.318158269E-1
5.542062000E0,3.222630620E-1,-5.389938354E-1,3.417777419E-1
5.561982000E0,5.511566997E-1,-1.373799682E0,-2.819082141E-1
5.581901000E0,4.279583395E-1,-1.847941160E0,-7.297352552E-1
5.601820000E0,3.153126687E-2,-1.441268682E0,-9.612050056E-1
5.621740000E0,-4.608317018E-1,-8.631577492E-1,-7.433294058E-1
5.641659000E0,-6.274803281E-1,4.164252803E-2,-4.521385133E-1
5.661578000E0,-7.715627551E-1,5.337623954E-1,-6.030029058E-1
5.681498000E0,-1.162130237E0,1.107425809E0,-7.795243859E-1
5.701417000E0,-1.459255815E0,1.981941700E0,-1.091430783E0
5.721336000E0,-1.400647879E0,2.746539116E0,-1.221915603E0
5.741256000E0,-1.088700652E0,3.026367188E0,-1.242176175E0
5.761175000E0,-7.086915970E-1,2.834210873E0,-1.190015197E0
5.781094000E0,-5.067386627E-1,2.280401230E0,-1.055575371E0
5.801014000E0,-5.369367003E-1,1.250961781E0,-8.816145658E-1
5.820933000E0,-6.285700202E-1,1.609034091E-1,-1.019246340E0
5.840852375E0,-6.367854476E-1,-4.152080119E-1,-1.278979421E0
5.860772375E0,-6.227609515E-1,-8.101050854E-1,-1.451302171E0
5.880691375E0,-6.074835658E-1,-1.279444575E0,-1.479308486E0
5.900610375E0,-5.632016063E-1,-1.570259452E0,-1.343232155E0
5.920530375E0,-5.057616830E-1,-1.559462905E0,-1.066785455E0
5.940449375E0,-4.265998900E-1,-1.307240129E0,-7.291775942E-1
5.960369375E0,-2.837009728E-1,-7.281919718E-1,-4.001152813E-1
5.980288375E0,-5.816790089E-2,-7.058807649E-3,-1.039376706E-1
6.000207375E0,3.230308890E-1,5.215530396E-1,2.536018193E-1
6.020127375E0,6.505601406E-1,7.101843953E-1,6.829691529E-1
6.040046375E0,8.380550146E-1,6.915743351E-1,1.154928207E0
6.059965375E0,1.055947661E0,5.289640427E-1,1.467332125E0
6.079885375E0,7.972871065E-1,2.352202684E-1,1.504293442E0
6.099804375E0,3.612197936E-1,6.152832136E-2,6.727615595E-1
6.119723375E0,3.119676411E-1,-2.638351917E-1,-8.576292992E-1
6.139643375E0,-2.623281777E-1,1.342109144E-1,-1.232969880E0
6.159562375E0,-1.055610418E0,7.229825854E-1,-1.237284422E0
6.179481375E0,-1.098122716E0,4.048983157E-1,-7.494632006E-1
6.199401375E0,-1.957150549E-1,-4.090760946E-1,-1.694138795E-1
6.219320375E0,4.647327363E-1,-1.675149918E0,-6.344534159E-1
6.239239375E0,8.141924739E-1,-1.711223006E0,-9.625514746E-1
6.259159375E0,7.099748850E-1,-1.553360462E0,-9.302111268E-1
6.279078375E0,1.690545380E-1,-4.235592484E-1,-3.327665925E-1
6.298997375E0,1.840783954E-1,-2.626107335E-1,4.938261509E-1
6.318917375E0,3.307041228E-1,-1.342947841E0,1.369908929E0
6.338836375E0,-6.112463772E-2,-1.496716261E0,1.679830074E0
6.358755375E0,2.701449394E-1,-5.991549492E-1,1.841046929E0
6.378675375E0,1.008785486E0,4.811587334E-1,1.597153544E0
6.398594375E0,1.088518023E0,1.475031853E0,1.604883075E0
6.418513375E0,8.051714301E-1,1.971105933E0,1.553409219E0
6.438433375E0,6.529212594E-1,1.446062446E0,9.190762043E-1
6.458352375E0,6.286684275E-1,8.626536727E-1,5.809046030E-1
6.478271375E0,3.485969007E-1,6.201167107E-1,4.663604200E-1
6.498191375E0,-1.175020412E-1,1.533979326E-1,5.725089312E-1
6.518110375E0,-6.352952868E-2,-5.008556843E-1,6.817461848E-1
6.538029375E0,5.531486869E-1,-7.615242600E-1,8.890227079E-1
6.557949375E0,1.048718810E0,-3.701082468E-1,1.420741558E0
