"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.780277625E0,4.339128104E0,-3.388857619E-1,-9.244348544E-1
1.800196625E0,3.683494431E0,1.481312417E-1,-9.634562480E-1
1.820116625E0,1.824665160E0,-9.062468708E-1,-3.216146364E0
1.840035625E0,1.964176217E0,-1.096218010E0,-1.136442615E0
1.859955625E0,1.359975822E0,-2.164802079E0,1.172715232E0
1.879874625E0,3.009339702E-1,-3.038543621E0,1.155761231E0
1.899794625E0,-2.040092372E0,-3.872768217E0,1.514106088E0
1.919713625E0,-7.038755411E-1,-3.295196042E0,5.643849492E-2
1.939633625E0,-7.903032357E-1,-2.760596809E0,-9.724884421E-1
1.959552625E0,-1.250545181E0,-4.002671129E0,-1.135785388E0
1.979472625E0,8.753328609E-1,-6.015571609E-1,1.556912969E0
1.999391625E0,2.667831903E0,1.268967711E0,3.553134851E0
2.019311625E0,2.279326522E0,3.372419342E0,1.456866524E0
2.039230625E0,1.374157074E0,2.961696881E0,-7.471326578E-1
2.059150625E0,3.063677292E0,3.123627625E0,3.866904044E0
2.079069625E0,9.252809465E-1,2.257321111E0,1.646143818E0
2.098989625E0,-2.558135213E0,2.355519543E0,-2.962299437E0
2.118908625E0,-2.411912722E0,1.064197927E0,-7.321850111E0
2.138828875E0,2.285595322E0,1.547774940E0,2.894476998E-1
2.158747875E0,-1.231984364E0,-7.254008961E-1,1.530818599E0
2.178666875E0,-1.258975697E0,-3.620110613E-1,-1.771950756E0
2.198586875E0,1.661280506E0,1.001537409E0,-1.302551486E0
2.218505875E0,2.361999135E0,1.007360651E0,4.092101954E0
2.238425875E0,6.439029890E-1,2.716487753E-1,2.236261194E0
2.258344875E0,-5.468082190E-2,1.006714534E0,-2.369949009E0
2.278264875E0,-6.082829207E-1,1.839177364E0,-4.616538725E0
2.298183875E0,-2.691099143E-1,2.207404600E0,-2.541481466E0
2.318103875E0,-6.333277148E-1,2.252016517E0,-2.725166776E0
2.338022875E0,-1.562180725E0,1.257862387E0,-1.518205571E0
2.357942875E0,-2.050795115E0,5.856682295E-1,-3.537611078E0
2.377861875E0,-8.516323417E-1,1.901099378E-1,-2.971611128E0
2.397781875E0,2.508782374E0,4.115738153E-1,4.038423929E0
2.417700875E0,8.977341288E-1,-4.971840692E-1,4.078055772E0
2.437620875E0,2.052986652E0,-5.948407567E-1,3.368366345E0
2.457539875E0,1.792307253E0,2.806645972E-1,3.904644313E0
2.477459875E0,9.525658089E-1,3.458101809E-2,1.170145820E0
2.497378875E0,1.357004267E-1,9.363532341E-1,-5.922266420E0
2.517298875E0,-1.271098144E0,8.808204728E-1,-7.610680345E0
2.537217875E0,-1.292348972E0,7.548334408E-1,-3.369811192E0
2.557137875E0,1.194813907E0,2.530304806E0,8.549763644E-1
2.577056875E0,1.148399878E0,1.287492567E0,-1.431200171E0
2.596976875E0,3.403771820E0,4.545023185E-1,5.287274587E-1
2.616895875E0,2.612409069E0,-2.136724627E-1,5.803602440E0
2.636815875E0,-4.186994078E0,7.140730852E-1,1.325603549E0
2.656734875E0,-3.800552765E-1,2.731060769E0,1.288184878E0
2.676654875E0,1.531935125E0,8.726378793E-1,5.094778401E-1
2.696573875E0,-3.872317689E0,-1.606558169E0,1.207692107E0
2.716493875E0,-1.105868986E0,-2.295734394E0,5.910611165E-1
2.736412875E0,1.956124601E-1,6.290323502E-1,-7.208377290E-1
2.756332875E0,5.984917581E-1,-1.376572559E0,-4.067919624E-1
2.776251875E0,1.650077533E0,1.279433935E0,-1.022573352E0
2.796171875E0,1.335163747E0,-3.356663142E0,5.571536976E-1
2.816090875E0,2.661910427E0,-5.315720122E0,3.598359556E0
2.836010875E0,3.998875117E0,-3.853147300E0,3.816387609E0
2.855929875E0,1.829520103E0,-2.963292879E0,7.658074951E-1
2.875849875E0,-4.254825872E0,-2.605285406E0,-7.732983631E0
2.895768875E0,-6.132658010E0,-1.834111336E0,-8.298638011E0
2.915688875E0,-5.515815935E-1,2.280226994E-1,2.720830480E0
2.935607875E0,1.441666395E0,4.058377553E0,6.390889764E0
2.955527875E0,-9.001785573E-1,1.050334178E1,5.417913079E-2
2.975446875E0,5.543160439E0,1.725961820E0,-3.470675662E0
2.995365875E0,9.557931796E-1,-5.321572600E0,-3.595410220E0
3.015285875E0,-1.488926515E0,-2.994326391E0,9.740536686E-1
3.035204875E0,-5.832068440E-1,-1.432044509E0,-3.933743566E-1
3.055124875E0,-2.659068096E-1,3.824201828E-1,-1.003737790E0
3.075044875E0,-9.746130279E-1,-7.784690559E-2,1.556984890E-1
