"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.710725000E0,6.040043663E-3,1.757571474E-3,4.217915237E-3
1.730643000E0,-4.642120097E-3,1.966261119E-2,-6.331670098E-3
1.750562000E0,-1.868511364E-2,3.558173403E-2,-1.174134202E-2
1.770480000E0,-1.587791741E-2,1.960242726E-2,-1.171923336E-2
1.790399000E0,-2.377942204E-3,-1.154252142E-2,-4.688228015E-3
1.810317000E0,5.534846801E-3,-2.408933081E-2,-4.592378158E-3
1.830235000E0,4.346875648E-4,-3.010636196E-3,-5.606239662E-3
1.850154000E0,-1.313713193E-2,2.476918139E-2,-1.266946364E-2
1.870072000E0,-1.269080397E-2,2.420729026E-2,-1.862137206E-2
1.889990000E0,-6.751544424E-4,-1.140292734E-4,-1.588097960E-2
1.909909000E0,3.975131083E-3,-1.636832207E-2,-8.040350862E-3
1.929827000E0,-3.437754465E-3,-1.309944969E-2,-9.790328331E-3
1.949745000E0,-9.813222103E-3,4.880127963E-3,-1.163002383E-2
1.969664000E0,-2.358604223E-3,1.067611761E-2,-1.113387477E-2
1.989582000E0,-3.440459492E-3,5.089333747E-3,-1.399891544E-2
2.009501000E0,-4.533972126E-3,4.011853132E-3,-1.020312123E-2
2.029419000E0,1.261248603E-3,8.156916127E-3,-5.297834519E-3
2.049337000E0,-3.501881147E-4,1.168967225E-2,-2.046652837E-3
2.069256000E0,-7.750318386E-3,1.779722050E-2,6.138677709E-4
2.089174000E0,-1.025837660E-2,2.290995046E-2,1.768323593E-3
2.109092000E0,-3.959878348E-3,7.928948849E-3,5.209134892E-3
2.129011000E0,4.514360800E-3,-3.447502851E-3,8.470445871E-3
2.148929000E0,8.439532481E-3,-8.966144174E-3,2.016305178E-2
2.168848000E0,1.157488092E-3,-9.838748723E-3,2.120194770E-2
2.188766000E0,4.326626193E-3,-1.890387386E-3,1.899659820E-2
2.208684000E0,1.452495344E-2,6.088407710E-3,5.572943017E-3
2.228603000E0,9.653855115E-3,1.423237938E-2,-1.295603346E-2
2.248521000E0,8.602841990E-4,2.578250319E-2,-1.855534501E-2
2.268439000E0,-8.471866138E-3,3.205182403E-2,-2.002511919E-2
2.288358000E0,-1.287180185E-2,1.673043519E-2,-8.660329506E-3
2.308276000E0,-6.089893170E-3,-1.296511292E-2,2.574992832E-3
2.328194000E0,1.340521383E-3,-3.730460256E-2,1.125826966E-2
2.348113000E0,8.654408157E-3,-4.438200220E-2,9.729322977E-3
2.368031000E0,3.420642344E-3,-3.624798730E-2,1.255839318E-2
2.387950000E0,-5.704823881E-3,-9.208831936E-3,-4.748951644E-3
2.407868000E0,8.028659970E-2,2.141166627E-1,-4.948418587E-2
2.427786000E0,-1.286139712E-2,2.041248605E-2,5.815557204E-3
2.447705000E0,-2.622974664E-2,3.340551257E-2,-1.000469644E-2
2.467622500E0,9.304813109E-3,2.684428357E-2,-2.509922534E-2
2.487540500E0,8.763168007E-3,-9.746678174E-3,-2.433068352E-3
2.507459500E0,-2.342456952E-3,-1.476023719E-2,1.962556271E-4
2.527377500E0,1.006941125E-2,-8.878685534E-3,-1.111659035E-2
2.547296500E0,1.005049329E-2,-5.696448497E-4,-1.888791472E-2
2.567214500E0,-1.636607386E-2,2.574287727E-2,-2.198545262E-2
2.587132500E0,-3.650432453E-2,4.504048079E-2,-1.528414525E-2
2.607051500E0,-2.804708667E-2,3.192692250E-2,-9.271793999E-3
2.626969500E0,-1.716062659E-3,-1.476692781E-2,6.105020177E-3
2.646887500E0,1.686802693E-2,-2.898957394E-2,1.644475386E-2
2.666806500E0,9.377619252E-3,-1.320874691E-2,2.302888595E-2
2.686724500E0,-9.352239431E-4,2.504203469E-3,2.746916562E-2
2.706643500E0,3.342714626E-3,-1.746354392E-3,2.411624417E-2
2.726561500E0,1.304305438E-2,-7.266747765E-3,6.558549125E-3
2.746479500E0,6.814060733E-3,-4.316719249E-3,-1.003346033E-2
2.766398500E0,5.968505866E-4,1.781614032E-3,-9.007347748E-3
2.786316500E0,-2.635591431E-3,1.065511350E-2,-9.285916574E-3
2.806234500E0,2.489844104E-3,9.391561151E-3,-5.293294787E-3
2.826153500E0,2.916608937E-3,-1.702145906E-3,-7.657664828E-3
2.846071500E0,-6.094808225E-3,-4.691017326E-3,-1.382609271E-2
2.865989500E0,-1.052408013E-2,-1.566092717E-3,-1.238503400E-2
2.885908500E0,-1.127234381E-2,-1.435450744E-3,-1.014133077E-2
2.905826500E0,-4.942954052E-3,-3.768300172E-3,-4.397417884E-3
2.925745500E0,8.405669359E-4,-4.489135463E-3,-2.287376672E-3
2.945663500E0,7.329078857E-3,-2.886266448E-3,-1.872394932E-4
