"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.257641660E-2,-1.272360850E0,-2.054398754E-1,-2.062634557E0
3.249541670E-2,-8.990120378E-1,4.277150542E-2,-8.727787971E-1
5.241441680E-2,5.920893493E-1,5.857506752E-2,1.133772776E0
7.233341690E-2,8.198226115E-1,-8.990678787E-3,1.877868975E0
9.225141676E-2,2.019180974E-1,7.661548197E-2,8.027121967E-1
1.121704169E-1,-3.698004296E-1,3.200102189E-1,-3.750345647E-2
1.320894165E-1,-1.503596887E-1,-8.963489234E-3,-5.395202494E-1
1.520084166E-1,-6.005762905E-1,8.642681748E-2,-7.892513216E-1
1.719274167E-1,-2.018429607E-1,2.912968817E-1,-6.322091424E-1
1.918464168E-1,3.137642232E-1,5.415308145E-1,-1.315038800E-1
2.117644167E-1,3.499169728E-1,-1.658036470E-2,-4.773754567E-1
2.316834168E-1,-7.512739483E-1,7.883181059E-1,-1.344895853E0
2.516024169E-1,-1.191718683E0,1.261243539E0,-2.407193434E0
2.715214165E-1,-1.267781019E0,1.152289154E0,-3.134830890E0
2.914404166E-1,9.807023183E-2,8.575646344E-1,-1.855476478E0
3.113594167E-1,-2.731482938E-1,1.439172850E0,1.154273699E0
3.312774166E-1,1.075801287E0,1.642114356E0,2.819705728E0
3.511964167E-1,4.244932383E-2,2.159075024E0,2.191303123E0
3.711154168E-1,2.170445520E-1,4.478242135E-1,1.997915820E0
3.910344169E-1,3.635417162E0,-1.775216719E0,1.765056889E0
4.109534165E-1,1.502133037E0,-2.447759808E0,-2.287407374E-1
4.308724166E-1,1.400674489E0,-3.754522898E0,-2.545705787E0
4.507904169E-1,-4.453651670E-1,-2.207092651E0,-2.087945400E0
4.707094165E-1,-8.391698787E-1,1.195233006E0,1.594506472E0
4.906284166E-1,-1.145539713E-1,-1.015582421E-1,-1.051563848E0
5.105474168E-1,-1.710855246E0,2.138699524E0,-1.093839802E0
5.304664169E-1,1.250477500E0,5.215301210E-1,8.448425549E-1
5.503854165E-1,-1.309867669E0,1.166144716E0,-8.462546575E-1
5.703044166E-1,-3.304824652E0,-3.313558638E-2,-4.042491837E0
5.902227084E-1,-4.465638754E0,8.728249902E-1,-1.973163387E0
6.101417085E-1,-3.693163387E0,1.810754341E0,2.780410684E0
6.300607082E-1,-1.127832882E0,-1.838647022E0,1.074781387E0
6.499797083E-1,-2.899016776E0,-3.028834611E0,-1.162904774E0
6.698987084E-1,-4.634044851E-1,-3.018452295E0,-5.931172314E0
6.898177085E-1,-1.566884957E-1,-2.647573639E0,-4.579680802E0
7.097357083E-1,-6.630144964E0,2.868444609E0,-1.702089393E-1
7.296547084E-1,4.049945283E0,5.826165676E-3,-2.941524280E0
7.495737085E-1,3.356250914E0,-2.343634200E0,-2.250999686E0
7.694927081E-1,1.964225772E0,-1.719679864E0,-1.591968781E-1
7.894117082E-1,1.692609741E0,-2.994711138E0,1.964953896E0
8.093307083E-1,4.098960738E0,-1.871996616E0,6.306740729E0
8.292487082E-1,3.892270435E0,-1.318084323E0,7.402782592E0
8.491677083E-1,2.805565406E0,-1.045583169E0,5.039290078E0
8.690867084E-1,1.952619634E0,-2.862769009E-1,2.353989619E0
8.890057085E-1,1.565710982E0,1.113982436E0,1.458790843E0
9.089247081E-1,1.247742903E0,1.587130795E0,-2.316900730E-2
9.288437082E-1,-1.354266308E-1,1.935408062E0,3.818763918E-1
9.487617086E-1,8.473741069E-1,1.561617346E0,1.251885948E0
9.686807082E-1,2.787939267E-1,3.259233619E-1,6.073011732E-1
9.885997083E-1,-8.716907765E-1,3.348248707E-1,-6.533462423E-1
1.008518708E0,-1.037052593E0,4.170441779E-1,-9.203049660E-1
1.028437709E0,-1.025502954E-1,1.059856954E0,1.701294172E-1
1.048356708E0,-3.292021150E-1,7.411309294E-1,9.563705921E-3
1.068275708E0,-7.310632666E-1,2.555606000E-1,1.085694630E0
1.088193709E0,-2.063803124E0,-7.955892648E-1,1.822076012E0
1.108112708E0,-1.892170241E0,-9.583861274E-1,1.027365730E0
1.128031708E0,8.599440857E-1,-5.845638366E-1,2.220163225E0
1.147950708E0,2.018633529E-1,-5.693490891E-1,3.357972919E0
1.167869709E0,-1.035204581E0,-7.802831545E-1,2.156795779E0
